기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
날짜,기록 시간,기록자,호선,탑승역,하차역,지나온 역 수,시간,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류,
07/31,19:10,재민,5,공덕,여의도,3,6,N,,여,,중년,X,X,O,"이어폰, 핸드폰",,"쇼핑백, 장우산","붐빔 여부 
- F (Full) : 열차 칸에 서있는 사람이 20명 초과인 경우
- N (Normal) : 좌석이 꽉차고 열차 칸에 서있는 사람이 20명 이하인 경우
- E (Empty) : 남은 좌석이 있는 경우

연령대
- ~13살: 어린이
- 14~19살: 청소년
- 20, 30대: 청년
- 65세 이전 : 중년
- 65세 이후 : 노년


일단 짐은 전부다 적고, 단비는 무신사를 기준으로 짐 분류를 좀 하세요
비어있는 구간은 한 행으로 추가해서 할 것( 재민님 행 확인 )


지하철 호선 드롭다운 목록 추가(1~9, 10, 11)

함수 추가
1. 만약 성별이 남자라면 임산부배지 항목 자동으로 X, 여자일 경우는 OX 추가 입력
2. 만약 임산부배지 항목에서 X를 선택했다면 임산부여부는 자동으로 X
 ** 만약 임산부 배지 X인데 임산부여부가 O일 경우에는 임산부여부를 수동으로 고쳐줘야 합니다.(지금까지의 데이터는 변동 없이 반영되어있음. 이후 데이터 쌓을 때만 유의하면 됩니다.)"
08/02,8:36,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,O,"이어폰, 핸드폰(영상시청)",,,
08/02,8:41,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,O,멍,,쇼핑백,
08/02,9:00,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/02,9:00,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/02,9:19,재민,5,왕십리,공덕,11,22,E,X,여,,청년,X,O,X,핸드폰,,,
08/02,9:19,재민,5,왕십리,공덕,11,,E,X,비었음,11,,,,,,,,
08/02,17:29,미현,5,공덕,신길,4,8,F,X,남,,중년,X,X,X,핸드폰,,손바닥 세 개 사이즈의 가방,
08/02,17:29,미현,5,공덕,신길,4,,F,X,비었음,4,,,,,,,,
08/02,17:48,미현,1,신길,수원,17,34,F,X,여,,노년,X,X,X,잠,,핸드백,
08/02,17:48,미현,1,신길,수원,17,,F,X,여,,노년,X,X,X,핸드폰,,손바닥 세 개 사이즈 가방,
08/02,18:21,미현,1,신길,수원,17,,F,X,여,,청년,X,X,X,핸드폰,,,
08/02,18:30,미현,1,신길,수원,17,,F,X,여,,중년,X,X,X,핸드폰,,,
08/02,17:52,한솔,1,신길,영등포,1,,E,O,비었음,1,,,,,,,,
08/02,17:52,한솔,1,신길,신도림,2,,E,O,비었음,2,,,,,,,,
08/02,17:57,한솔,1,신길,병점,19,38,E,O,남,,노년,X,X,X,멍,,많이 비어보이는 백팩,
08/02,17:59,한솔,1,신길,병점,19,,N,O,남,,청년,X,X,O,핸드폰,,내려 놓을 때 둔탁한 소리가 나는 무거운듯한 백팩,
08/02,18:18,한솔,1,신길,병점,19,,N,O,여,,중년,X,X,O,핸드폰,,에코백,
08/02,18:22,한솔,1,신길,병점,19,,N,O,여,,중년,X,X,O,핸드폰,,"에코백, 도트백",
08/02,18:27,한솔,1,금정,병점,8,,N,O,비었음,8,,,,,,,,
08/02,17:29,재민,5,공덕,왕십리,11,22,N,X,남,,중년,X,X,X,멍,,,
08/02,17:29,재민,5,공덕,왕십리,11,,N,X,여,,청년,X,X,X,대화,,,
08/02,17:30,재민,5,충정로,광화문,2,,N,X,비었음,2,,,,,,,,
08/02,17:35,재민,5,공덕,왕십리,11,,N,X,여,,청년,X,X,X,핸드폰,,,
08/02,17:38,재민,5,종로3가,동대문역사문화공원,2,,N,X,비었음,2,,,,,,,,
08/02,17:42,재민,5,공덕,왕십리,11,,N,X,여,,중년,X,X,X,핸드폰,,,
08/02,17:59,재민,10,왕십리,야탑,16,32,E,X,비었음,16,,,,,,,,
08/02,17:59,재민,10,왕십리,야탑,16,,E,X,비었음,16,,,,,,,,
08/02,18:20,현미,6,공덕,불광,13,26,F,X,여,,청년,X,X,X,핸드폰,,,
08/02,18:32,현미,6,공덕,응암,11,,F,X,남,,중년,X,X,X,멍,,검은 봉투 1개,
08/02,18:45,현미,6,응암,불광,2,,N,O,비었음,2,,,,,,,,
