,date,time,name,line,start,stop,crowded,old_age_seat,sex,empty_station,age,badge,pregnant,heavy,behavior,characteristic,bag,empty,sex2,노년,중년,청년,어린이,청소년,crowded2,behavior1,behavior2,behavior3,핸드폰,멍,잠,이어폰,대화,통화,독서,화장,먹기,필기,바람쐬기
70,08월 02일,08:36:00,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,O,"이어폰, 핸드폰(영상시청)",,,1,1.0,0,0,1,0,0,2,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0,0
71,08월 02일,08:41:00,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,O,멍,,쇼핑백,1,1.0,0,0,1,0,0,2,멍,,,0,1,0,0,0,0,0,0,0,0,0
72,08월 02일,09:00:00,재민,분당선,,,E,O,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
73,08월 02일,09:00:00,재민,분당선,,,E,O,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
74,08월 02일,09:19:00,재민,5호선,왕십리,공덕,E,X,여,,청년,X,O,X,핸드폰,,,1,1.0,0,0,1,0,0,0,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
75,08월 02일,09:19:00,재민,5호선,왕십리,공덕,E,X,비었음,11.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
76,08월 02일,17:29:00,미현,5호선,공덕,신길,F,X,남,,중년,X,X,X,핸드폰,,손바닥 세 개 사이즈의 가방,1,0.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
77,08월 02일,17:29:00,미현,5호선,공덕,신길,F,X,비었음,4.0,,,,,,,,0,,0,0,0,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0
78,08월 02일,17:48:00,미현,1호선,신길,수원,F,X,여,,노년,X,X,X,잠,,핸드백,1,1.0,1,0,0,0,0,2,잠,,,0,0,1,0,0,0,0,0,0,0,0
79,08월 02일,17:48:00,미현,1호선,신길,수원,F,X,여,,노년,X,X,X,핸드폰,,손바닥 세 개 사이즈 가방,1,1.0,1,0,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
80,08월 02일,18:21:00,미현,1호선,신길,수원,F,X,여,,청년,X,X,X,핸드폰,,,1,1.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
81,08월 02일,18:30:00,미현,1호선,신길,수원,F,X,여,,중년,X,X,X,핸드폰,,,1,1.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
82,08월 02일,17:52:00,한솔,1호선,신길,영등포,E,O,비었음,1.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
83,08월 02일,17:52:00,한솔,1호선,신길,신도림,E,O,비었음,2.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
84,08월 02일,17:57:00,한솔,1호선,신길,병점,E,O,남,,노년,X,X,,멍,,많이 비어보이는 백팩,1,0.0,1,0,0,0,0,0,멍,,,0,1,0,0,0,0,0,0,0,0,0
85,08월 02일,17:59:00,한솔,1호선,신길,병점,N,O,남,,청년,X,X,,핸드폰,,내려 놓을 때 둔탁한 소리가 나는 무거운듯한 백팩,1,0.0,0,0,1,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
86,08월 02일,18:18:00,한솔,1호선,신길,병점,N,O,여,,중년,X,X,,핸드폰,,에코백,1,1.0,0,1,0,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
87,08월 02일,18:22:00,한솔,1호선,신길,병점,N,O,여,,중년,X,X,,핸드폰,,"에코백, 도트백",1,1.0,0,1,0,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
88,08월 02일,18:27:00,한솔,1호선,금정,병점,N,O,비었음,8.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
89,08월 02일,17:29:00,재민,5호선,공덕,왕십리,N,X,남,,중년,X,X,X,멍,,,1,0.0,0,1,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
90,08월 02일,17:29:00,재민,5호선,공덕,왕십리,N,X,여,,청년,X,X,X,대화,,,1,1.0,0,0,1,0,0,1,대화,,,0,0,0,0,1,0,0,0,0,0,0
91,08월 02일,17:30:00,재민,5호선,충정로,광화문,N,X,비었음,2.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
92,08월 02일,17:35:00,재민,5호선,공덕,왕십리,N,X,여,,청년,X,X,X,핸드폰,,,1,1.0,0,0,1,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
93,08월 02일,17:38:00,재민,5호선,종로3가,동대문역사문화공원,N,X,비었음,2.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
94,08월 02일,17:42:00,재민,5호선,공덕,왕십리,N,X,여,,중년,X,X,X,핸드폰,,,1,1.0,0,1,0,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
95,08월 02일,17:59:00,재민,분당선,왕십리,야탑,E,X,비었음,16.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
96,08월 02일,17:59:00,재민,분당선,왕십리,야탑,E,X,비었음,16.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
97,08월 02일,18:20:00,현미,6호선,공덕,불광,F,X,여,,청년,X,X,X,핸드폰,,,1,1.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
98,08월 02일,18:32:00,현미,6호선,공덕,응암,F,X,남,,중년,X,X,X,멍,,검은 봉투 1개,1,0.0,0,1,0,0,0,2,멍,,,0,1,0,0,0,0,0,0,0,0,0
99,08월 02일,18:45:00,현미,6호선,응암,불광,N,O,비었음,2.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
100,08월 03일,09:19:00,한솔,1호선,병점,종각,E,O,여,,노년,X,X,X,멍,,,1,1.0,1,0,0,0,0,0,멍,,,0,1,0,0,0,0,0,0,0,0,0
101,08월 03일,09:19:00,한솔,1호선,병점,종각,E,O,여,,노년,X,X,,멍,,비교적 작은 백팩,1,1.0,1,0,0,0,0,0,멍,,,0,1,0,0,0,0,0,0,0,0,0
102,08월 03일,09:24:00,한솔,1호선,의왕,종각,E,O,비었음,21.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
103,08월 03일,10:01:00,한솔,1호선,구로,노량진,E,O,비었음,5.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
104,08월 03일,10:13:00,한솔,1호선,병점 ,종각,E,O,여,,노년,X,X,X,,,,1,1.0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
105,08월 03일,10:32:00,현미,6호선,불광,경복궁,F,X,여,,청년,X,O,X,핸드폰,,,1,1.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
106,08월 03일,10:36:00,현미,6호선,불광,경복궁,F,X,여,,중년,X,X,X,멍,,,1,1.0,0,1,0,0,0,2,멍,,,0,1,0,0,0,0,0,0,0,0,0
107,08월 03일,18:10:00,한솔,1호선,종각,병점,N,O,여,,중년,X,X,X,멍,,,1,1.0,0,1,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
108,08월 03일,18:10:00,한솔,1호선,종각,병점,N,O,여,,노년,X,X,X,멍,,,1,1.0,1,0,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
109,08월 03일,18:19:00,한솔,1호선,종각,병점,N,O,남,,노년,X,X,O,멍,,큰 이마트 백,1,0.0,1,0,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
110,08월 03일,18:20:00,현미,6호선,경복궁,불광,N,O,비었음,,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
111,08월 03일,18:21:00,한솔,1호선,종각,병점,F,X,여,,중년,X,X,X,핸드폰,,,1,1.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
112,08월 03일,18:23:00,한솔,1호선,노량진,신길,N,X,비었음,2.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
113,08월 03일,18:28:00,한솔,1호선,종각,병점,N,O,여,,중년,X,X,X,핸드폰,,,1,1.0,0,1,0,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
114,08월 03일,19:03:00,한솔,1호선,종각,병점,N,O,여,,중년,X,X,O,핸드폰,,엄청엄청 큰 쇼핑백,1,1.0,0,1,0,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
115,08월 03일,17:04:00,한솔,1호선,종각,병점,N,O,여,,청년,X,X,X,핸드폰,,도트백,1,1.0,0,0,1,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
116,08월 03일,19:29:00,미현,1호선,종각,수원,N,X,여,,중년,X,X,O,대화,두분이서 대화 나누심,끌고 다니는 시장 바구니와 그 위에 짐이 또 있음,1,1.0,0,1,0,0,0,1,대화,,,0,0,0,0,1,0,0,0,0,0,0
117,08월 03일,19:29:00,미현,1호선,종각,용산,N,X,비었음,4.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
118,08월 03일,19:38:00,미현,1호선,종각,수원,N,X,남,,청소년,X,X,X,핸드폰,엄마가 앉으라고 아들에게 권유 아들은 덥썩 앉음,백팩,1,0.0,0,0,0,0,1,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
119,08월 03일,19:48:00,미현,1호선,종각,수원,F,X,여,,청년,X,X,X,잠,,,1,1.0,0,0,1,0,0,2,잠,,,0,0,1,0,0,0,0,0,0,0,0
120,08월 03일,20:11:00,미현,1호선,종각,수원,F,X,여,,중년,X,X,X,핸드폰,,"쇼핑백 두 개, 우산, 미니 크로스백",1,1.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
121,08월 03일,20:11:00,미현,1호선,종각,수원,F,X,남,,청년,X,X,X,핸드폰,,쇼퍼백,1,0.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
122,08월 03일,20:28:00,미현,1호선,종각,수원,F,X,남,,청년,X,X,X,멍,외국인,mlb 백팩,1,0.0,0,0,1,0,0,2,멍,,,0,1,0,0,0,0,0,0,0,0,0
123,08월 03일,20:29:00,미현,1호선,종각,수원,F,X,남,,어린이,X,X,X,핸드폰,어린이 세 명이 두 자리에 나눠 앉음 그 앞에 부모님이 서계심,,1,0.0,0,0,0,1,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
124,08월 03일,20:40:00,미현,1호선,종각,수원,F,X,남,,청년,X,X,X,대화,외국인,쇼핑백 상체 사이즈,1,0.0,0,0,1,0,0,2,대화,,,0,0,0,0,1,0,0,0,0,0,0
125,08월 03일,20:40:00,미현,1호선,성균관대,수원,F,X,비었음,2.0,,,,,,옆자리 중년 남성이 자신의 쇼핑백을 올려둠,,0,,0,0,0,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0
126,08월 03일,09:42:00,재민,분당선,야탑,왕십리,N,X,남,,중년,X,X,O,핸드폰,,백팩,1,0.0,0,1,0,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
127,08월 03일,09:54:00,재민,분당선,야탑,왕십리,N,O,여,,청년,X,X,O,멍,,백팩,1,1.0,0,0,1,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
128,08월 03일,09:54:00,재민,분당선,야탑,왕십리,N,O,여,,중년,X,X,O,멍,,"큰 크로스백, 도시락가방(?)",1,1.0,0,1,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
129,08월 03일,10:14:00,재민,분당선,,왕십리,E,O,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
130,08월 03일,10:14:00,재민,분당선,,왕십리,E,O,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
131,08월 03일,10:32:00,재민,5호선,왕십리,광화문,N,O,여,,중년,X,X,X,,,,1,1.0,0,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
132,08월 03일,10:32:00,재민,5호선,왕십리,광화문,N,O,여,,중년,X,X,X,,,,1,1.0,0,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
133,08월 03일,18:06:00,재민,5호선,광화문,왕십리,F,O,여,,중년,X,X,X,,,백팩,1,1.0,0,1,0,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0
134,08월 03일,18:06:00,재민,5호선,광화문,왕십리,F,O,여,,청년,X,X,X,,,,1,1.0,0,0,1,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0
135,08월 03일,18:11:00,재민,5호선,광화문,왕십리,F,O,여,,중년,X,X,X,,,에코백 빵빵함,1,1.0,0,1,0,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0
136,08월 03일,18:15:00,재민,5호선,광화문,왕십리,F,O,여,,노년,X,X,X,,,,1,1.0,1,0,0,0,0,2,,,,0,0,0,0,0,0,0,0,0,0,0
137,08월 03일,18:23:00,재민,분당선,왕십리,야탑,N,X,여,,청년,X,O,X,핸드폰,,,1,1.0,0,0,1,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
138,08월 03일,18:23:00,재민,분당선,왕십리,가천대,N,X,비었음,13.0,,,,,,옆에 앉은 여성분이 임산부석에 악기를 올려놓음,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
139,08월 03일,18:35:00,재민,분당선,왕십리,야탑,F,X,남,,청년,X,X,X,핸드폰,,,1,0.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
140,08월 03일,18:49:00,재민,분당선,왕십리,야탑,F,X,여,,노년,X,X,X,잠,,,1,1.0,1,0,0,0,0,2,잠,,,0,0,1,0,0,0,0,0,0,0,0
141,08월 03일,19:01:00,재민,분당선,왕십리,야탑,F,X,여,,노년,X,X,X,"핸드폰, 이어폰",,,1,1.0,1,0,0,0,0,2,핸드폰,이어폰,,1,0,0,1,0,0,0,0,0,0,0
142,08월 03일,09:49:00,보민,6호선,화랑대,태릉입구,N,O,비었음,1.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
143,08월 03일,09:49:00,보민,6호선,화랑대,돌곶이,N,O,비었음,3.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
144,08월 03일,09:49:00,보민,6호선,석계,돌곶이,N,O,비었음,1.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
145,08월 03일,09:50:00,보민,6호선,안암,창신,N,O,비었음,2.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
146,08월 03일,09:50:00,보민,6호선,보문,창신,N,O,비었음,1.0,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
147,08월 03일,09:50:00,보민,6호선,화랑대,청구,E,O,여,,노년,X,X,X,멍,다음에 바로 내림,,1,1.0,1,0,0,0,0,0,멍,,,0,1,0,0,0,0,0,0,0,0,0
148,08월 03일,09:50:00,보민,6호선,화랑대,청구,E,O,여,,노년,X,X,O,독서,,소형 구루마,1,1.0,1,0,0,0,0,0,독서,,,0,0,0,0,0,0,1,0,0,0,0
149,08월 03일,09:50:00,보민,6호선,화랑대,청구,N,O,남,,노년,X,X,X,바람쐬기,옆자리 났는데 꿋꿋이 팔걸치고 앉아 있음,,1,0.0,1,0,0,0,0,1,바람쐬기,,,0,0,0,0,0,0,0,0,0,0,1
150,08월 03일,09:50:00,보민,6호선,화랑대,청구,N,O,여,,노년,X,X,X,멍,뛰어와서 앉음,힙색,1,1.0,1,0,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
151,08월 03일,09:50:00,보민,6호선,화랑대,청구,N,O,여,,청년,X,X,X,멍,옆자리로 옮겨앉음,,1,1.0,0,0,1,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
152,08월 03일,09:50:00,보민,6호선,화랑대,청구,N,O,여,,청년,X,X,X,이어폰,,,1,1.0,0,0,1,0,0,1,이어폰,,,0,0,0,1,0,0,0,0,0,0,0
153,08월 03일,09:50:00,보민,6호선,화랑대,청구,N,O,여,,어린이,X,X,X,이어폰,,크로스백,1,1.0,0,0,0,1,0,1,이어폰,,,0,0,0,1,0,0,0,0,0,0,0
154,08월 03일,10:13:00,보민,5호선,청구,경복궁,E,O,여,,노년,X,X,X,멍,,핸드백,1,1.0,1,0,0,0,0,0,멍,,,0,1,0,0,0,0,0,0,0,0,0
155,08월 03일,10:13:00,보민,5호선,청구,경복궁,E,O,남,,노년,X,X,X,"봉에 팔 걸침, 미어캣",,,1,0.0,1,0,0,0,0,0,멍,멍,,0,1,0,0,0,0,0,0,0,0,0
156,08월 03일,10:20:00,보민,5호선,청구,경복궁,E,O,여,,중년,X,X,X,핸드폰,옆 자리에 앉아서 가방을 임산부석에 올려놓음,,1,1.0,0,1,0,0,0,0,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
157,08월 03일,19:20:00,보민,5호선,광화문,청구,E,O,비었음,12.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
158,08월 03일,19:20:00,보민,6호선,청구,화랑대,E,O,비었음,12.0,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
159,08월 03일,19:30:00,보민,6호선,광화문,화랑대,E,O,남,,중년,X,X,X,통화,한쪽 다리로 임산부석에 걸터 앉음,일수가방,1,0.0,0,1,0,0,0,0,통화,,,0,0,0,0,0,1,0,0,0,0,0
160,08월 03일,18:03:00,단비,1호선,종각,온수,E,X,남,,노년,X,X,X,필기,,봉지(미니),1,0.0,1,0,0,0,0,0,필기,,,0,0,0,0,0,0,0,0,0,1,0
161,08월 03일,18:03:00,단비,1호선,종각,온수,E,X,여,,중년,X,X,X,대화,,,1,1.0,0,1,0,0,0,0,대화,,,0,0,0,0,1,0,0,0,0,0,0
162,08월 03일,18:31:00,단비,1호선,구로,온수,E,X,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
163,08월 03일,18:43:00,단비,7호선,온수,신중동,E,X,비었음,,,,,,,,,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0
