날짜,기록 시간,기록자,호선,탑승역,하차역,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류
2019. 8. 5,21:31,재민,분당선,왕십리,야탑,E,O,비었음,16,,0,O,,,,
2019. 8. 5,21:31,재민,분당선,왕십리,서울숲,E,O,비었음,1,,0,O,,,,
2019. 8. 5,21:37,재민,분당선,서울숲,강남구청,E,O,여,,청년,X,O,X,핸드폰,,
2019. 8. 5,21:41,재민,분당선,강남구청,야탑,E,O,비었음,13,,0,O,,,,
2019. 8. 5,8:36,단비,7호선,신중동,온수,F,X,여,,청년,X,X,X,핸드폰,,에코백
2019. 8. 5,8:36,단비,7호선,신중동,온수,F,X,여,,청년,X,X,X,핸드폰,,크로스백
2019. 8. 5,8:46,단비,1호선,온수,신길,N,X,여,,중년,X,X,X,핸드폰,,크로스백
2019. 8. 5,8:46,단비,1호선,온수,신길,N,X,남,,노년,X,X,X,멍,자꾸 두리번 거리심...,봉지(중)
2019. 8. 5,8:51,단비,1호선,개봉,구로,N,X,비었음,,,,,,,,
2019. 8. 5,8:57,단비,1호선,온수,신길,N,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 5,9:03,단비,1호선,온수,신길,N,X,여,,중년,X,X,X,잠,,메신저백
2019. 8. 5,9:10,단비,5호선,신길,공덕,E,X,비었음,,,,,,,,
2019. 8. 5,9:10,단비,5호선,신길,공덕,E,X,여,,청년,X,X,X,잠,,크로스백
2019. 8. 5,9:17,단비,5호선,마포,공덕,E,X,비었음,,,,,,,,
2019. 8. 5,18:40,단비,5호선,공덕,신길,F,X,여,,청년,X,X,X,잠,,크로스백
2019. 8. 5,18:40,단비,5호선,공덕,신길,F,X,남,,청년,X,X,X,핸드폰,,백팩
2019. 8. 5,18:56,단비,1호선,신길,부천,F,X,여,,청년,X,X,X,핸드폰,,"크로스백, 봉지(소)"
2019. 8. 5,18:56,단비,1호선,신길,부천,F,X,여,,중년,X,X,X,잠,,메신저백
2019. 8. 5,19:11,단비,1호선,역곡,부천,F,X,여,,청년,X,X,X,핸드폰,,클러치
2019. 8. 5,19:11,단비,1호선,역곡,부천,F,X,여,,청년,X,X,X,핸드폰,,크로스백
2019. 8. 7,8:18,한솔,1호선,병점,수원,E,O,비었음,2,,0,O,,,,
2019. 8. 7,8:18,한솔,1호선,병점,금정,F,O,비었음,8,,0,O,,,,
2019. 8. 7,8:23,미현,1호선,수원,신길,F,X,남,,중년,X,X,X,"핸드폰, 이어폰",,"우산, 노트북 가방"
2019. 8. 7,8:23,미현,1호선,수원,신길,F,X,여,,노년,X,X,X,대화,옆에 남편으로 추정되는 분과 대화중,
2019. 8. 7,8:29,한솔,1호선,병점,신길,N,O,여,,중년,X,X,X,핸드폰,,
2019. 8. 7,8:44,한솔,1호선,병점,신길,F,X,여,,중년,X,X,,핸드폰,,핸드백
2019. 8. 7,8:46,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,잠,,작은 크기의 백팩
2019. 8. 7,8:57,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,핸드폰,,"크로스백, 우산"
2019. 8. 7,9:07,미현,5호선,신길,공덕,F,X,비었음,4,,0,O,,,,
2019. 8. 7,9:08,한솔,1호선,병점,신길,F,O,여,,청년,O,O,X,"이어폰, 잠",,
2019. 8. 7,9:07,미현,5호선,신길,공덕,F,X,여,,중년,X,X,X,핸드폰,,백팩
2019. 8. 7,9:10,미현,5호선,신길,공덕,F,X,여,,중년,X,X,X,잠,,핸드백
2019. 8. 7,9:16,보민,6호선,화랑대,공덕,N,X,여,,청년,X,O,O,핸드폰,,"에코백, 장우산"
2019. 8. 7,9:16,보민,6호선,화랑대,공덕,N,X,여,,노년,X,X,X,멍,,보스턴백
2019. 8. 7,9:19,한솔,1호선,병점,신길,F,O,여,,노년,X,X,O,멍,,"페인트통, 우산, 핸드백"
2019. 8. 7,9:26,한솔,5호선,신길,공덕,F,X,여,,중년,X,X,X,"이어폰, 핸드폰",,
2019. 8. 7,9:32,보민,6호선,화랑대,공덕,F,X,여,,중년,X,X,X,멍,한정거장 가서 바로 내림,
2019. 8. 7,9:34,보민,6호선,동묘앞,약수,E,O,비었음,3,,0,O,,,,
2019. 8. 7,9:34,보민,6호선,동묘앞,공덕,E,O,비었음,10,,0,O,,,,
2019. 8. 7,9:39,보민,6호선,화랑대,공덕,E,O,여,,중년,X,X,X,미어캣,반대줄에 자리가 나자 옮겨앉음,"손가방, 물"
2019. 8. 7,9:42,보민,6호선,한강진,공덕,N,O,비었음,5,,0,O,,,,
2019. 8. 7,8:36,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,X,잠,,
2019. 8. 7,8:36,재민,분당선,야탑,왕십리,F,X,여,,노년,X,X,X,잠,,
2019. 8. 7,8:52,재민,분당선,야탑,왕십리,F,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 7,9:06,재민,분당선,강남구청,왕십리,E,O,비었음,3,,0,O,,,,
2019. 8. 7,9:23,재민,5호선,왕십리,공덕,N,X,여,,청년,X,X,X,핸드폰,,
2019. 8. 7,9:23,재민,5호선,왕십리,공덕,N,X,여,,청년,X,X,X,잠,,
2019. 8. 7,9:28,재민,5호선,왕십리,공덕,N,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 7,9:42,재민,5호선,왕십리,공덕,N,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 7,9:43,재민,5호선,애오개,공덕, N,X,비었음,1,,0,O,,,,
2019. 8. 7,18:55,한솔,1호선,신길,병점,F,X,여,,중년,X,X,X,대화,,
2019. 8. 7,18:55,한솔,1호선,신길,병점,F,X,여,,중년,X,X,X,"이어폰, 핸드폰",,
2019. 8. 7,19:34,한솔,1호선,당정,병점,N,O,비었음,6,,0,O,,,,
2019. 8. 7,19:38,한솔,1호선,의왕,병점,N,O,비었음,5,,0,O,,,,
2019. 8. 7,18:28,현미,6호선,공덕,합정,E,O,비었음,4,,,,,,,
2019. 8. 7,18:29,현미,6호선,공덕,합정,E,O,비었음,4,,,,,,,
2019. 8. 7,18:34,현미,6호선,상수,합정,N,O,남,,중년,X,X,X,핸드폰,,
2019. 8. 7,20:19,미현,5호선,공덕,신길,N,O,여,,청년,X,X,X,핸드폰,,잠
