날짜,기록 시간,기록자,호선,탑승역,하차역,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류
2019. 8. 13,8:59,미현,1호선,수원,신길,F,X,남,,중년,X,X,X,핸드폰,,이마트 장바구니
2019. 8. 13,8:59,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,잠,,핸드백
2019. 8. 13,9:11,한솔,5호선,신길,공덕,F,X,여,,중년,X,X,X,"핸드폰, 이어폰",,
2019. 8. 13,9:12,한솔,5호선,신길,공덕,F,X,여,,중년,X,X,,"핸드폰, 이어폰",,백팩
2019. 8. 13,9:10,미현,5호선,신길,공덕,F,X,여,,중년,X,X,X,멍,,핸드백
2019. 8. 13,9:10,미현,5호선,신길,공덕,F,X,남,,중년,X,X,X,멍,,크로스백
2019. 8. 13,9:18,한솔,5호선,마포,공덕,F,X,비었음,1,,0,O,,,,
2019. 8. 13,8:42,재민,분당선,야탑,왕십리,F,X,여,,중년,X,X,X,멍,한참 눈치 보다가 앉음,
2019. 8. 13,8:42,재민,분당선,야탑,왕십리,F,X,여,,청년,X,X,,핸드폰,,쇼핑백(중)
2019. 8. 13,9:13,재민,분당선,강남구청,왕십리,E,O,비었음,3,,0,O,,,,
2019. 8. 13,9:28,재민,5호선,왕십리,공덕,N,X,여,,중년,X,X,X,핸드폰,,
2019. 8. 13,9:28,재민,5호선,왕십리,공덕,N,X,여,,중년,X,X,,멍,,백팩
2019. 8. 13,9:40,재민,5호선,종로3가,공덕,E,X,비었음,5,,0,O,,,,
2019. 8. 13,9:44,재민,5호선,왕십리,공덕,E,O,여,,청년,O,O,X,핸드폰,옆자리에 있다가 임산부석이 비니까 옮김,
2019. 8. 13,9:47,재민,5호선,왕십리,공덕,E,O,남,,청년,X,X,,대화,,백팩
2019. 8. 13,18:56,한솔,5호선,공덕,신길,N,O,남,,청년,X,X,X,"이어폰, 핸드폰",,
2019. 8. 13,18:57,한솔,5호선,공덕,신길,N,O,여,,청년,X,X,X,핸드폰,,
2019. 8. 13,19:13,한솔,1호선,신길,병점,N,O,여,,청년,X,X,,핸드폰,,에코백
2019. 8. 13,19:25,한솔,1호선,신길,병점,F,O,여,,청년,X,X,X,잠,외국인,
2019. 8. 13,19:45,한솔,1호선,금정,화서,N,O,비었음,5,,0,O,,,,
2019. 8. 13,20:05,한솔,1호선,신길,병점,E,O,남,,청년,X,X,,"이어폰, 핸드폰",옆자리 비어있는데도 앉아있음,에코백
2019. 8. 13,20:07,한솔,1호선,신길,병점,E,O,여,,청년,X,X,X,"핸드폰, 이어폰",일반자리 앉아있다가 임산부석 비니까 자리 옮김,
2019. 8. 13,20:55,미현,5호선,공덕,신길,N,O,비었음,4,,0,O,,,,
2019. 8. 13,20:55,미현,5호선,공덕,신길,N,O,비었음,4,,0,O,,,,
2019. 8. 13,21:09,미현,1호선,신길,수원,F,X,남,,노년,X,X,X,"핸드폰, 주변 살피기",,
2019. 8. 13,21:09,미현,1호선,신길,신도림,F,X,비었음,2,,0,O,,,,
2019. 8. 13,21:15,미현,1호선,신길,수원,F,X,여,,중년,X,X,X,핸드폰,,"핸드백, 커피"
2019. 8. 13,21:24,미현,1호선,신길,수원,F,X,여,,중년,X,X,X,핸드폰,,핸드백
2019. 8. 13,21:24,미현,1호선,독산,안양,F,X,비었음,4,,0,O,,,,
2019. 8. 13,21:33,미현,1호선,관악,안양,F,X,비었음,1,,0,O,,,,
2019. 8. 13,21:36,미현,1호선,수원,신길,F,X,여,,청소년,X,X,X,친구와 대화,,백팩
2019. 8. 13,21:36,미현,1호선,수원,신길,F,X,여,,중년,X,X,X,멍,,백팩
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
,,,,,,,,,,,0,O,,,,
