date,time,line,start,stop,E,N,F,old_age_seat,is_empty,Female,Male,isempty_station,child,teenage,Youth,middle_age,old_age,badge,pregnant,heavy,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
2019. 8. 2.,8:32:00,10,야탑,왕십리,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,8:36:00,10,야탑,왕십리,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2019. 8. 2.,8:41:00,10,야탑,왕십리,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2019. 8. 2.,9:00:00,10,,,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 2.,9:00:00,10,,,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
2019. 8. 2.,9:19:00,5,왕십리,공덕,1,0,0,1,0,1,0,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,9:19:00,5,왕십리,공덕,1,0,0,1,1,,,11,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:29:00,5,공덕,신길,0,0,1,1,0,0,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,17:29:00,5,공덕,신길,0,0,1,1,1,,,4,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:48:00,1,신길,수원,0,0,1,1,0,1,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 2.,17:48:00,1,신길,수원,0,0,1,1,0,1,0,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,18:21:00,1,신길,수원,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,18:30:00,1,신길,수원,0,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,17:52:00,1,신길,영등포,1,0,0,0,1,,,1,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:52:00,1,신길,신도림,1,0,0,0,1,,,2,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:57:00,1,신길,병점,1,0,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 2.,17:59:00,1,신길,병점,0,1,0,0,0,0,1,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,18:18:00,1,신길,병점,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,18:22:00,1,신길,병점,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,18:27:00,1,금정,병점,0,1,0,0,1,,,8,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:29:00,5,공덕,왕십리,0,1,0,1,0,0,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 2.,17:29:00,5,공덕,왕십리,0,1,0,1,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019. 8. 2.,17:30:00,5,충정로,광화문,0,1,0,1,1,,,2,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:35:00,5,공덕,왕십리,0,1,0,1,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,17:38:00,5,종로3가,동대문역사문화공원,0,1,0,1,1,,,2,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:42:00,5,공덕,왕십리,0,1,0,1,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,17:59:00,10,왕십리,야탑,1,0,0,1,1,,,16,,,,,,,,,,,,,,,,,,
2019. 8. 2.,17:59:00,10,왕십리,야탑,1,0,0,1,1,,,16,,,,,,,,,,,,,,,,,,
2019. 8. 2.,18:20:00,6,공덕,불광,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 2.,18:32:00,6,공덕,응암,0,0,1,1,0,0,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
